2017042,강원진,M,19810603,002-8202-8790,wjgang@navi.com,280300, 20170123132432
2017053,나경숙,W,19891225,002-4509-0043,ksna#boram.co.kr,4500,  20170210180930
2017108,박승대,M,19711430,,sdpark@haso.com,23450,  20170508203450
2018087,서유리,W,19810925,003-1265-8372,urseo@epnt.co.kr,18700, 20180204160903
2018254,이혜옥,W,19839012,003_1287_9734,hylee@hansoft.com,570,  20180619230805
2019001,김진숙,W,20010426,002-9842-0074,jskim$dreami.org,12820, 20190101080518
2019069,김한길,M,1992 315,,hkkim@ssoya.com,15320,  20190217110704
2019095,남궁소망,M,19620728,003-6273-8539,,890,20190312124558
2019167,한찬희,M,19711106,002=1202=5563,chhan@ecom.co.kr,6800,  20190508155600
2019281,이아름,W,19940513,003-2620-0723,aulee@hoki.com,35600,   20190709201308
